
memoria,disk,swap,cpu
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.44%,12%,0.0000%,0.00%
3.44%,12%,0.0000%,0.00%
3.44%,12%,0.0000%,0.00%
3.44%,12%,0.0000%,0.00%
3.44%,12%,0.0000%,0.00%
3.44%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.54%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
3.59%,12%,0.0000%,0.00%
