"memory","disk","swap","cpu"
3.54%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.64%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.74%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.74%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
3.69%,12%,0.0248%,0.00%
