memory,disk,swap,cpu
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
3.34%,12%,0.0248%,0.00%
